sample	formation	log_height	Ag	Al	As	Ba	Be	Bi	Ca	Cd	Ce	Co	Cr	Cs	Cu	Dy	Er	Eu	Fe	Ga	Gd	Ge	Hf	Ho	In	K	La	Li	Lu	Mg	Mn	Mo	Na	Nb	Nd	Ni	P	Pb	Pr	Rb	Re	S	Sb	Sc	Se	Sm	Sn	Sr	Ta	Tb	Te	Th	Ti	Tl	Tm	U	V	W	Y	Yb	Zn	Zr
JANA 1 m	Vikinghogda Formation	14.28	25	5.01	2.8	234	2	0.13	2.25		58.68	9.9	55	3.7	19.1	3.3	1.4	1	2.31	11.62	5		2.58	0.6	0.04	1.55	28.5	53.3	0.2	1.36	781	0.15	1.185	9.02	32.7	22.1	0.067	6.04	7.2	65.2	0.002	0.25	0.28	8.7	0.6	6.3	1.5	84	0.7	0.6	0.5	8.5	0.315	0.37	0.2	1.5	57	0.9	14.3	1.6	40.6	90.2
JANA 1.5 m	Vikinghogda Formation	14.78	53	4.97	3.3	243	1	0.1	2.89	0.04	51.21	12.8	48	3.9	23.8	3.5	1.5	0.9	2.54	10.95	4.4		2.03	0.6	0.03	1.64	25.5	56.6	0.2	1.34	833	0.34	1.113	8.17	26.8	23.9	0.063	9.87	6.5	70.8		0.61	0.32	8.2	0.4	5.8	1.3	85	0.6	0.5	0.39	7.3	0.28	0.39	0.2	1.4	51	0.8	15.1	1.5	46.9	68.5
Lu 15	Vikinghogda Formation	15.12		6.64	2.8	311	1.9	0.16	1.88		74.5	13	67	6.31	20	4.1	2.2	1.27	2.76	16.1	5	0.6	3.1	0.8		2.43	36.2	58	0.3	1.79	684		1	0.4	31.7	32	0.054	4	8.8	107		0.22	0.1	14		6	2	89		0.7		11	0.237	0.46	0.3	2.3	46		20.9	2.3	57	96
JANA 2 m	Vikinghogda Formation	15.22	15.28	7.88	8.7	378	2	0.26	2.51	0.05	69.82	21	81	11.7	29.8	4.8	2	1.5	3.97	21.27	6.5		2.68	0.8	0.07	3.31	32.9	75.6	0.3	2.15	2166	0.4	0.687	12.29	36	44.8	0.095	14.03	8.2	128.2	0.003	0.88	0.45	15.7	0.6	7.4	2.6	101	0.9	0.7	0.4	8.6	0.416	0.77	0.3	2	114	1.5	20.8	2.1	63.3	89.3
JANA 2.5 m	Vikinghogda Formation	15.72	15.78	5.81	5.3	313	2	0.13	2.54	0.12	68.01	14.6	56	5.4	22.7	3.3	1.6	1.1	2.78	13.28	4.9		2.69	0.6	0.04	1.99	32.2	54.4	0.3	1.53	803	1.63	1.113	9.89	32.5	29.7	0.078	16.01	7.9	86.3		0.46	0.49	9.7	1	6.1	1.7	94	0.7	0.6	0.48	9.8	0.333	0.5	0.2	2.3	73	1	16.9	1.8	45.9	91.1
JANA 3 m	Vikinghogda Formation	16.22	16.28	4.85	10.3	33	1	0.08	3.53	0.15	59.15	23.5	38	3.8	24	4.6	1.6	1.4	5.05	11.07	6.2		1.64	0.6	0.05	1.56	27.8	55.4	0.2	1.39	1407	3.01	1.038	6.64	34.5	42.2	0.097	16.26	7.3	68.7		3.42	0.42	8	0.8	7	1.2	95	0.5	0.7	0.23	6.7	0.212	0.46	0.2	1.4	49	0.7	19.6	1.6	72.5	62.8
Lu 16	Vikinghogda Formation	16.79		8.27	8.6	367	3	0.32	2.44		85	20	85	13	30	5.3	2.9	1.69	4.34	23.7	7.2	0.1	3.6	1		3.85	42.7	69	0.4	2.29	2050		0.69	17.8	36.7	43	0.085	8	10.1	175		0.93	0.6	17	0.1	8.6	3	107	1.3	1	0.2	13.2	0.492	0.74	0.4	2.6	129	1.9	27.8	2.6	68	129
Lu 17	Vikinghogda Formation	17.72	0.3	8.06	8.3	414	3	0.3	1.69		84.4	22	139	12.1	29	4.8	2.8	1.47	4.54	23.9	5.9	0.3	4.5	1		3.84	44.4	67	0.5	2.35	1140		0.88	19.9	34.8	44	0.072	14	9.8	166		0.74	0.8	16	0.6	6.4	3	111	1.4	0.8		14.7	0.538	0.75	0.4	3	139	2.2	27.1	2.9	63	163
Lu 18	Vikinghogda Formation	18.73	0.4	6.86	3.9	314	2.6	0.23	1.87		81.4	17	93	8.83	25	5.3	2.8	1.61	3.22	19.3	6.8	0.4	4.8	1		2.54	40	58	0.4	2.08	754		0.88	6.4	37.2	35	0.064	8	10	119	0.001	0.46	0.5	15	0.2	8.2	2	95	0.3	0.9	0.1	13	0.413	0.6	0.4	2.7	96	1	26.2	2.7	55	173
Lu 19	Vikinghogda Formation	19.54		7.39	5.3	310	2.9	0.28	5.54		99.3	19	98	10.6	20	8.9	4.2	3.13	4.39	22.3	11.8		3.4	1.6		2.88	46.5	65	0.5	3.09	4470		0.6	14.1	54.4	38	0.195	12	13.3	133	0.001	0.99	0.6	18		13.3	3	119	0.7	1.7	0.1	10.7	0.405	0.67	0.5	3.1	118	1.7	46.2	3.4	56	122
Lu 20	Vikinghogda Formation	20.77	0.6	7.4	9.7	45	2.3	0.2	1.56		72.7	37	54	8.26	81	5.5	3.2	1.51	6.85	22.2	6		5.2	1.1		2.81	36.3	68	0.5	2.05	556	1	1.04	18.4	32.9	58	0.08	16	8.7	121	0.002	3.88	1	21	1	6.5	3	96	1.3	0.9	0.1	10.9	0.736	0.75	0.5	2.8	207	1.8	28.5	3.3	79	188
Lu 21	Vikinghogda Formation	21.64	0.5	7.29	8.9	211	2.3	0.2	1.73		83.1	21	76	8.46	58	5.5	3.5	1.55	4.6	20.4	6.4	0.1	5.5	1.2		2.62	42.6	63	0.5	2	604	2	1.24	18.3	37.1	39	0.078	12	10	128	0.003	1.43	0.7	18	1.4	6.5	3	102	1.2	0.9		12.4	0.627	0.76	0.5	3.2	162	1.8	29.5	3.3	62	199
Lu 22	Vikinghogda Formation	22.64		7.72	6.4	392	2.4	0.2	1.82		76.4	15	107	8.39	35	4	2.6	1.17	3.85	20.4	4.9	0.3	4.2	0.8		2.88	39.6	65	0.4	1.97	474	1	1.26	18.5	30.3	39	0.064	9	8.8	135	0.002	0.73	0.7	15	0.8	6.2	3	119	1	0.7		12.6	0.518	0.77	0.4	3.1	122	1.7	22.7	2.6	63	154
Lu 23	Vikinghogda Formation	23.82	0.4	5.17	6	279	1.6	0.09	3.11		70.8	13	63	3.69	31	5.8	2.7	1.83	3.26	11.8	7		4.6	1		1.79	32.4	49	0.4	1.51	919	2	1.28	14	36.1	27	0.095	7	8.9	74	0.002	1.17	0.5	10		7.2	2	103	1	1		9.9	0.448	0.4	0.3	2.4	73	1.3	26.8	2.3	64	161
Lu 24	Vikinghogda Formation	24.89	0.4	7.13	6	534	2.2	0.18	0.96		78.2	15	76	7.35	30	3.9	2.4	1.24	3.46	16.3	5	0.8	4.8	0.8		2.72	39.7	55	0.4	1.72	485		1.18	2.3	32.7	35	0.061	11	9.2	121	0.003	0.42	0.4	13	0.5	6.2	3	108		0.7		12.6	0.427	0.64	0.3	3.2	78	0.2	21.3	2.4	65	151
Lu 28	Vikinghogda Formation	27.79	0.5	6.95	12.7	77	2.3	0.32	1.8	0.4	85	31	58	7.41	92	6.6	3.6	1.94	5.52	19.7	7.9		6.1	1.3	0.1	2.91	42.4	57	0.5	1.92	648	5	1.06	19.6	41.5	47	0.103	15	10.6	123	0.006	2.6	1.1	18	3.1	9.1	3	118	1.3	1.2	0.2	12.6	0.814	0.99	0.5	3.7	183	2	33	3.4	70	214
Lu 29	Vikinghogda Formation	28.7	0.8	7	12.8	136	2.2	0.24	1.51	0.6	89.9	24	92	8.39	56	5	3.1	1.49	4.23	19.1	6.1		6.5	1		2.46	44.5	57	0.4	1.73	646	13	0.96	19.3	40.4	61	0.076	12	11.1	119	0.01	1.61	1.6	14	3.8	8	3	108	1.3	0.9	0.2	14.9	0.523	1.48	0.4	4.5	169	1.7	26.9	3	91	238
Lu 30	Vikinghogda Formation	29.7	0.5	5.74	4.8	343	1.6	0.15	2.6		79.2	12	78	4.9	22	5	2.7	1.54	3.01	14	6.2	0.2	5.5	0.9		2.32	37.7	46	0.4	1.63	783	2	1.41	8.1	36	28	0.074	8	9.8	93.7	0.002	0.67	0.3	10	0.5	6.9	2	111	0.1	0.9		11.8	0.436	0.58	0.4	2.8	79	1.1	25.5	2.6	55	195
Lu 31	Vikinghogda Formation	30.7		5.21	4.4	338	1.4	0.11	2.63		65.9	8	57	4.04	26	4.9	2.5	1.42	2.5	11.3	6.2	0.5	0.4	0.9		1.98	32	48	0.4	1.39	599		1.4	2.2	33.2	22	0.066	6	8.6	80.6	0.001	0.37	0.4	9	0.4	7.2	2	112		0.9		11.6	0.381	0.45	0.4	2.6	62	0.8	25.2	2.5	44	29
