sample	formation	log_height	Ag	Al	As	Ba	Be	Bi	Ca	Cd	Ce	Co	Cr	Cs	Cu	Dy	Er	Eu	Fe	Ga	Gd	Ge	Hf	Ho	In	K	La	Li	Lu	Mg	Mn	Mo	Na	Nb	Nd	Ni	P	Pb	Pr	Rb	Re	S	Sb	Sc	Se	Sm	Sn	Sr	Ta	Tb	Te	Th	Ti	Tl	Tm	U	V	W	Y	Yb	Zn	Zr
-8.6 m Lydiu 0 m LD - Ext	Kapp Starostin Fm.	-8.48	70	2.96	7.4	78	4		1.33	0.05	109.65	2.4	628	0.9	5.3	10.6	4.6	3.5	7.36	7.61	16.5		0.07	1.8	0.03	0.7	87	71	0.4	1.18	107	1	0.04	1.24	88.9	16.4	0.565	6.8	21.7	37.9	0.002	0.54	0.34	3.4	1.1	17	0.4	76		1.8	0.43	4.7	0.043	0.11	0.6	2.8	89	0.1	80.7	3.5	34.2	4.5
Ext - 8 m	Kapp Starostin Fm.	-7.91	29	2.59	10.5	89	4	0.05	1.41	0.05	109.9	3.6	864	1.3	5.8	11.6	5	3.4	6.22	6.69	16.5		0.11	1.9	0.01	0.75	90.6	71	0.4	0.97	102	1.39	0.033	1.75	105.4	15	0.574	9.55	21.5	38.1		0.3	0.42	3	1.3	19	0.5	77	0.1	2	0.44	6.1	0.055	0.16	0.7	2.6	88	0.1	87.6	3.5	30.7	6.3
-2 m Ext	Kapp Starostin Fm.	-1.82	54	1.27	7.3	39	2		18.09	0.03	44.72	5	228	1.3	1.7	5.4	2.3	1.4	2.52	3.12	7.7		0.23	0.9	0.02	0.61	41.7	42.4	0.3	0.52	2153	1.27	0.03	1.04	38.1	14.7	0.302	2.96	8.8	33.1	0.008	0.86	0.23	2	0.6	7.1	0.2	184		0.8	2.58	2.7	0.029	0.12	0.3	2.2	44		42.7	2	28.4	8.2
-1.53 Ext LD -1.53	Kapp Starostin Fm.	-1.24	111	3.07	10	185	2	0.05	1.38		79.72	1.8	382	2.6	4.7	8	4	2.3	5.45	6.17	12.6		0.83	1.4	0.02	1.03	78.5	76.5	0.4	1.1	56	2.06	0.04	3.24	67.8	10.6	0.539	7.04	16.1	55.4	0.008	0.91	0.27	4.6	0.8	12.4	0.6	65	0.2	1.3	0.39	5	0.09	0.43	0.5	4.7	97	0.2	60	3	35.7	34
Lu 30.20	Kapp Starostin Fm.	-0.46		3.21	11.9	311	3.2	0.07	1.91		121	6	507	3.44	9	12.2	6.1	3.71	5.99	7.2	15.5		0.2	2.3		1.65	110	84	0.6	1.29	318	3	0.11	3.7	91.5	38	0.644	5	24.1	75.9	0.01	0.76	0.6	5	0.4	18.4	1	96.8		2.2		6.8	0.122	0.52	0.7	5.6	92	0.3	88.8	4.1	114	2
Lu - 00	Kapp Starostin Fm.	-0.39		5	34.8	226	3.6	0.14	1.45	0.5	134	11	553	7.16	18	14	6.9	4.25	7.43	17.1	17.8		0.1	2.6		2.5	120	106	0.8	1.54	272	6	0.17	3	103	38	0.661	10	26.2	109	0.03	1.05	0.8	9	3.3	18.7	2	86.5		2.5		10.6	0.261	0.68	0.9	9.2	132	0.7	94.9	5.3	94	3
Ext LD - .3	Kapp Starostin Fm.	-0.3	105	4.69	22.8	96	3	0.12	1.47	0.15	124.98	7	616	6.1	11.7	13.2	6	3.7	7.02	11.22	17.7		1.78	2.2	0.05	2.12	106.8	109.4	0.6	1.37	147	6.6	0.113	6.47	102.1	23.8	0.713	10.68	24.5	104.2	0.031	0.82	0.63	8.6	2.3	19.3	1.1	90	0.4	2.3	0.14	8.8	0.18	0.67	0.7	7.7	128	0.4	92.5	5	79	59.7
Ext 0 cm LD -0	Kapp Starostin Fm.	0	21	3.73	6.5	155	4	0.11	2.57	0.47	195	8.3	483	3.3	12.2	25.4	9.7	6.6	6.05	14.4	32.3		0.85	3.9	0.04	2.12	174.2	114.7	0.7	1.38	266	1.12	0.121	3.45	183.2	18.5	1.046	6.34	40.5	94		0.77	0.25	9.4	1.1	35.7	0.6	135	0.2	4.2	0.62	8.3	0.098	0.39	1.2	4.7	93	0.2	156.2	6.7	229.8	34.4
Lu - 01	Vikinghogda Formation	0.49	0.4	6.92	24.3	98	1.8	0.35	0.39	0.6	59.9	44	85	9.23	103	4.3	2.6	1.18	6.32	20.5	4.5		3.4	0.9		2.96	40.9	81	0.5	1.7	453	11	0.64	13	27	84	0.052	13	7.5	123	0.019	2.61	0.8	18	3.6	4.7	2	71.5	0.8	0.7	0.4	9.8	0.465	2.16	0.4	2.9	184	1.3	24	2.8	61	120
18B+0.5m LD	Vikinghogda Formation	0.5	156	6.48	25.7	293	2	0.16	0.48	0.2	65.34	13.6	213	6.8	89.8	5.8	2.3	1.8	7.63	18.93	8.8		2.08	0.9	0.08	1.91	31.3	84	0.3	1.33	203	12.91	1.213	8.03	39.7	32	0.305	15.07	10	93.1	0.016	0.94	0.73	18.1	3.2	8.9	1.6	68	0.5	0.9	0.3	7.2	0.549	1.13	0.3	3.9	206	0.9	27.4	2	49.7	69.3
Long 14	Vikinghogda Formation	0.51	0.4	7.06	26.6	100	1.2	0.17	0.43	1.2	45.6	54	113	4.64	104	3.4	2.5	0.93	11.1	15.2	3.9	0.2	3.2	0.7		1.5	23.5	118	0.4	2.43	552	13	1.15	9.1	20.7	95	0.075	16	5.7	75	0.023	3.45	0.9	3	3.4	6.2	3	52.4	0.6	0.5		7.7	0.538	1.6	0.4	2.8	168	0.8	23.5	2.6	114	126
Long 15	Vikinghogda Formation	0.89		6.52	21.4	221	2.9	0.21	0.3	0.4	66.1	25	226	9.21	64	4.5	2.9	1.22	6.7	23.1	5.1		3.6	0.8		2.57	27.6	90	0.4	1.53	454	5	0.78	12.6	29.8	42	0.107	12	7.9	125	0.01	1.62	0.8	2	2.1	6.7	2	66.1	0.8	0.8	0.1	10.1	0.465	1.19	0.4	3.3	164	1	27.6	2.8	63	150
Long 16	Vikinghogda Formation	1.15		7	3.7	84	0.5	0.04	7.1	0.8	42.1	25	224	1.85	157	6.7	4.3	1.87	11.4	12.1	7.5		2.3	1.5		0.64	39.4	124	0.5	2.65	1190		2.55	0.8	26.5	40	0.08		6.4	17.5	0.002	2.72		1	0.4	7.4	1	80.1		1.1		2.4	0.531	0.49	0.6	1.8	198	0.1	39.4	3	144	87
18D+1.5 m LD-14 m	Vikinghogda Formation	1.5	110	6.43	13.4	282	2	0.17	0.75	0.35	50.22	30.7	90	9.8	76.5	3.1	1.8	0.7	4.53	19.34	3.3		2.4	0.5	0.06	2.67	27.9	74.8	0.2	1.47	419	2.57	0.695	9.7	19	63.5	0.044	13.68	5.5	119.9	0.007	1.57	0.6	19.6	2	3.7	1.9	68	0.7	0.4	0.2	7.7	0.402	1.16	0.3	2.6	163	1	14.9	2	57.6	87.8
Long 17	Vikinghogda Formation	1.93	0.3	6.49	14.8	130	1.8	0.19	0.78	0.5	63.1	22	59	9.62	59	3.4	2.5	1.05	4.59	18.1	4.6		3.6	0.7		2.61	19.6	66	0.3	1.63	408	4	0.68	12.9	25.7	50	0.048	11	7.5	126	0.006	1.79	0.8	2	1.8	4.9	2	68.2	0.8	0.6		10.2	0.452	1.13	0.4	4.1	170	1.4	19.6	2.2	55	140
18E+2 M LD	Vikinghogda Formation	2	104	6.47	17.5	326	2	0.26	0.25	0.24	57.75	21.8	118	10.6	83.2	4.4	2.2	1.3	5.07	21.86	5.8		3.04	0.7	0.07	3	25.6	74.4	0.3	1.32	287	9.08	0.628	10.43	27	48.4	0.073	17.61	6.4	136.2	0.007	0.72	0.88	15.7	3.1	5.9	2.1	64	0.7	0.6	0.21	8.7	0.378	1.75	0.3	4.9	234	0.9	18.1	2.2	68.1	98.5
Lu 02	Vikinghogda Formation	2.01	0.3	6.01	14.7	189	1.5	0.2	0.76	0.4	58.6	22	71	8.38	58	3.5	2.2	1.01	4.08	20.8	3.5		3.3	0.7		2.76	30.2	62	0.3	1.48	398	4	0.61	12.6	24.2	51	0.043	8	6.7	114	0.004	1.61	0.9	14	1.6	4	2	71.4	0.8	0.5		9.2	0.41	1.13	0.3	3.4	170	1.2	17	2.1	54	120
0.5 m DD	Vikinghogda Formation	2.5	55	6.49	5.1	345	2	0.14	1.4	0.03	67.88	17.8	69	6.3	21.4	3.6	1.6	1.1	3.1	16.7	5.5		2.98	0.6	0.05	2.38	33.9	62.9	0.3	1.63	584	0.23	1.165	11.77	31.7	33.3	0.065	9.23	7.7	102	0.003	0.42	0.41	11.2	0.9	5.8	2.2	84	0.8	0.5	0.28	9.6	0.41	0.54	0.2	2.1	87	1.3	15.4	1.8	48.8	96.7
Long 18	Vikinghogda Formation	2.71	0.4	7.61	9.5	188	2.3	0.32	1.66	0.6	74.1	35	80	11.7	61	5.3	3.1	1.37	4.78	21.9	5.7		3.7	0.8	0.1	3.27	25.8	75	0.4	1.9	469	4	0.6	13.7	31.1	64	0.053	14	9.6	157	0.012	1.38	0.5	3	2.3	5.8	3	82.2	0.9	0.7	0.1	11.6	0.488	1.37	0.5	3.9	142	1.1	25.8	2.8	88	137
18G+3 LD	Vikinghogda Formation	3	89	6.19	9.5	358	2	0.18	0.72	0.18	62.27	19.8	87	8	46.1	3.6	1.9	1.1	4.55	17.56	5		2.88	0.6	0.06	2.58	29.7	70.1	0.3	1.4	385	5.01	0.784	9.57	30.2	40.9	0.051	13.71	7.6	116.1	0.007	0.63	0.4	13.8	1.7	5.6	1.8	73	0.7	0.5	0.22	8.7	0.385	0.91	0.3	2.7	113	1	17.9	2	57.1	103.5
Lu 03	Vikinghogda Formation	3.14	0.3	6.95	12.6	190	1.8	0.26	2.54	0.4	69.7	24	81	11.6	60	4.5	2.5	1.23	4.28	23.6	4.6		3.7	0.9		3.23	34.3	67	0.4	2.05	468	4	0.58	14.7	28.5	52	0.045	12	8	132	0.003	1.7	0.8	17	1.8	6	3	101	1	0.7	0.1	10.8	0.465	1.31	0.4	4.5	169	1.5	22	2.5	63	134
Long 19	Vikinghogda Formation	3.49		7.59	8.9	204	2.1	0.29	2.19	0.5	76.4	19	84	11	48	4	2.8	1.16	4.51	20.7	4.8		3.8	0.9		3.19	24.2	71	0.3	2	496	2	0.64	13.2	31	43	0.047	9	9	150	0.003	1.28	0.6	3	0.5	6.1	3	93.9	0.9	0.7		11.3	0.504	0.97	0.5	3.1	144	1.5	24.2	2.6	65	144
Lu - 04	Vikinghogda Formation	3.64		7.6	10	206	2.3	0.34	2.21	0.4	76.7	23	76	14	48	5	2.6	1.43	4.32	25.9	5.4		3.7	0.9		3.18	36.5	72	0.4	2.04	452	2	0.52	15.4	33.7	50	0.045	11	9	144	0.004	1.36	0.6	17	2.5	6.5	3	108	1	0.8	0.3	11.2	0.453	1.22	0.4	4	130	1.5	23.9	2.6	80	133
Long 20	Vikinghogda Formation	4.23		7.78	10.5	251	2.7	0.33	1.96	0.5	80.8	30	77	13.1	40	4.6	2.7	1.3	4.94	18.9	6.1		3.5	0.8		3.14	26.6	76	0.3	2.07	579	2	0.56	14.8	33.7	57	0.061	16	9.7	161	0.005	1.75	0.7	3	2.9	6.5	3	96.4	1	0.7	0.1	12.5	0.454	1.41	0.4	3.3	110	1.4	26.6	2.5	76	139
Lu - 05	Vikinghogda Formation	4.64	0.3	8.41	10.8	245	2.5	0.29	1.55	0.3	76.2	31	157	15.2	39	5	2.8	1.5	4.86	28.7	5.9		3.3	0.9		2.93	37.6	81	0.4	2.07	587	2	0.47	15.6	33.5	61	0.054	13	9.2	147	0.002	1.56	0.6	18	2.1	6.4	3	102	1	0.8	0.2	11.3	0.447	1.35	0.4	2.8	131	1.6	25.3	2.5	86	121
Long 21	Vikinghogda Formation	4.99		8.03	8.5	154	2.2	0.31	2.02	0.7	84.5	32	86	12.4	37	5	2.9	1.49	4.48	21.9	5.4		3.5	1		3.15	26.7	77	0.3	2.08	795	1	0.59	14.1	34.8	54	0.063	15	10.1	156	0.003	1.5	0.7	3	1.6	7.2	3	96.4	0.9	0.8		12	0.465	1.15	0.4	3	100	1.4	26.7	2.5	86	138
Lu 6.4	Vikinghogda Formation	5.09	0.4	8.51	12.1	202	2.5	0.38	1.83	0.5	78.3	30	94	13.9	44	4.9	2.7	1.52	4.88	27.2	5.9		3.5	0.9		2.64	38.9	78	0.4	2.06	573	2	0.54	16.1	35	58	0.058	15	9.3	132	0.004	1.86	0.7	17	2.8	6.4	3	115	1.1	0.8	0.4	10.9	0.45	1.57	0.4	3.4	134	1.7	24.5	2.5	78	130
Long 22	Vikinghogda Formation	5.75		7.99	7.6	375	2.5	0.31	2.12	0.4	85.8	22	84	14.3	31	5.5	3.1	1.62	4.49	19.3	7.2		3.7	1.1		3.41	29.2	78	0.3	2.12	837		0.59	14.6	40.5	48	0.085	13	10.5	165	0.003	0.88	0.6	3	1.9	7.1	3	101	1	0.9	0.2	12.3	0.47	0.98	0.4	2.8	103	2	29.2	2.7	90	131
Lu 7.4	Vikinghogda Formation	6.09	0.3	8.11	10	206	2.5	0.33	1.81	0.4	80.3	31	69	12.5	48	5.4	2.8	1.66	4.48	26.2	6.5		3.8	0.9		3.45	40.2	75	0.4	2.04	833	1	0.52	16.4	38.1	55	0.063	14	9.8	146	0.002	1.19	0.6	16	1.5	7.2	3	109	1	0.9	0.2	12.2	0.466	1.07	0.4	2.9	113	1.7	26.4	2.6	96	134
Long 23	Vikinghogda Formation	6.49		7.59	8	300	2.3	0.28	2.19		82.3	25	71	11.6	28	4.6	2.2	1.31	4.28	18.8	5.5		3.8	0.9		2.61	25	74	0.4	2.17	1260		0.65	15.1	34.2	44	0.062	12	9.9	137	0.002	1.09	0.6	3	1.1	7.8	3	103	1	0.8		12.5	0.469	0.87	0.4	2.7	96	1.3	25	2.6	72	137
Lu 8.4	Vikinghogda Formation	7.09		7.71	9.4	153	2.4	0.28	1.85		76.6	24	70	12.3	32	4.2	2.4	1.22	4.19	23.2	4.4		3.5	0.8		3.58	38.3	71	0.4	2.02	791		0.56	16	29.8	46	0.054	12	8.5	147	0.002	1.23	0.6	15	1.1	5.6	3	109	1	0.7	0.1	11.5	0.437	1.01	0.3	2.5	105	1.6	21.7	2.3	90	130
17G -3m LD-9.5	Vikinghogda Formation	7.24	66	6.98	5.9	328	2	0.19	2.32	0.53	61.92	24	72	10.6	27.3	4	1.9	1.2	3.63	17.71	5.4		2.45	0.7	0.07	2.84	29.6	71.6	0.2	1.67	749	1.16	0.588	10.27	29.4	43.4	0.063	15.14	7.7	126.2		1.05	0.34	12.2	1.7	6	2	102	0.7	0.6	0.46	8.7	0.327	0.94	0.3	1.9	89	1.3	19.7	2	113	79.8
Long 24	Vikinghogda Formation	7.27		7.58	4.6	279	2.3	0.27	1.97		78.2	21	98	11.3	24	4.4	2.5	1.22	3.96	18.8	4.9	0.2	3.8	0.8		2.03	24.4	75	0.4	2.1	790		0.64	10.5	32.2	40	0.057	13	9.2	120	0.002	0.67	0.5	2	0.5	6.7	2	91.6	0.6	0.7	0.1	11.5	0.474	0.69	0.4	2.8	98	1.2	24.4	2.5	55	137
17E-2.5 m LD-10 m	Vikinghogda Formation	7.74	100	7.56	8.2	363	2	0.24	2.28	0.18	64.78	29.9	80	12.2	43.5	3.9	1.9	1.3	4.24	21.04	5.6		2.44	0.7	0.06	3.14	30.2	72.5	0.3	1.81	883	1.64	0.512	11.42	28.7	53.6	0.06	20.59	7.6	136	0.003	1.44	0.44	14	1.8	5.6	2.3	101	0.7	0.5	0.44	8.2	0.342	1.21	0.3	2.1	107	1.2	19.9	1.9	86.9	84.6
Long 25	Vikinghogda Formation	8.01		6.87	4.3	320	2.1	0.25	2.55	0.3	81.5	15	80	9.48	36	6.4	3.1	1.53	3.31	16.7	6.9	0.4	3.3	1		2.16	28.2	71	0.3	2.01	958		0.72	1.7	37.3	36	0.075	10	9.6	115	0.002	0.33	0.3	2	0.6	7.4	2	94.4		0.9		11.6	0.34	0.65	0.4	3	72	0.4	28.2	2.7	52	118
Lu 9.4	Vikinghogda Formation	8.07		6.86	3.4	315	2	0.25	2.56		78.6	16	90	9.78	17	5.4	2.5	1.68	3.32	26.1	6.4	0.4	3.6	1		3.15	38.4	68	0.4	1.9	822		0.64	3	38.1	34	0.079	10	10.2	126		0.46	0.3	14	0.2	6.3	2	112		0.9		11.3	0.402	0.6	0.4	2.7	78	0.6	26.2	2.5	50	123
17E -2m LD - 10.5m	Vikinghogda Formation	8.24	24	3.93	6.8	31		0.06	3.49	0.09	60.85	13.8	54	4.1	14.7	5.6	1.9	1.8	4.97	9.14	8.5		1.78	0.8	0.04	1.36	26.6	57.1	0.2	1.17	903	1.74	0.639	6.16	38.4	26.3	0.111	9.58	8.3	62		3.6	0.21	6.7	1.7	8.5	0.9	95	0.5	0.9	0.21	6.3	0.22	0.51	0.3	1.5	41	0.7	26.4	1.7	45.9	64.7
Long 26	Vikinghogda Formation	8.77		6.32	11.8	108	1.3	0.15	2.12	0.4	80.4	30	88	5.56	91	6.4	3	2.04	5.85	15.1	8		4.2	1.1		1.79	31.7	59	0.3	1.6	796	2	1.95	10.8	41.9	55	0.115	12	10.6	78.8	0.003	3.09	0.7	2	0.9	8.4	2	81.4	0.7	1.2	0.1	9.3	0.613	0.48	0.4	2.7	93	1.2	31.7	2.5	54	156
17D-2 m LD-10.5 m	Vikinghogda Formation	8.84	90	7.51	7	359	3	0.26	2.17	0.05	62.56	24.3	88	11.9	31.8	3.5	1.8	1	4.15	19.93	4.7		2.57	0.6	0.09	3.16	31.4	76.7	0.2	1.83	862	0.75	0.536	11.29	29.1	45.2	0.061	18.22	7.6	127.3	0.003	0.95	0.4	14.6	1.6	5.3	2.2	97	0.8	0.5	0.37	9	0.363	0.9	0.3	2	106	1.4	17.1	1.9	66.7	85.2
17C-1.5 m LD-11 m	Vikinghogda Formation	9.34	28	7.96	7.3	328	3	0.22	1.27		67.52	23.6	96	12.2	36	3.5	1.7	1.1	4.48	21.3	5.4		2.78	0.6	0.07	3.39	32.5	87.4	0.2	1.95	656	1.24	0.628	10.97	29.6	46	0.065	16.19	7.7	144.2		0.76	0.44	18.4	1.2	5.7	2.1	87	0.8	0.5	0.33	9.5	0.446	0.87	0.3	2.2	123	1.4	18	1.9	52.7	91.1
