compound	Long31
n-C13	0.0374
n-C14	1.4941
n-C15	6.3825
n-C16	8.3278
n-C17	8.7916
n-C18	7.7236
n-C19	7.2891
n-C20	6.6045
n-C21	6.1968
n-C22	6.2828
n-C23	6.6515
n-C24	5.9299
n-C25	6.2834
n-C26	6.0306
n-C27	6.0483
n-C28	5.1517
Cholestane	4.3811
n-C29	5.1795
n-C30	3.9465
n-C31	3.5364
n-C32	2.6664
n-C33	2.3019
n-C34	2.1014
n-C35	1.5574
n-C36	1.2777
n-C37	1.1873
n-C38	1.154
n-C39	0.7894
n-C40	0.715
