compound	LU24-30-50
n-C12	0.0239
n-C13	0.9493
n-C14	4.7629
n-C15	10.0307
n-C16	9.6506
n-C17	9.0356
n-C18	7.5315
n-C19	6.9774
n-C20	6.3234
n-C21	5.5225
n-C22	5.2507
n-C23	5.7326
n-C24	4.9884
n-C25	5.3396
n-C26	5.1948
n-C27	4.722
n-C28	4.14
Cholestane	5.889
n-C29	3.8574
n-C30	3.3082
n-C31	2.4364
n-C32	1.8902
n-C33	1.6435
n-C34	1.5281
n-C35	1.2147
n-C36	1.0676
n-C37	0.9985
n-C38	1.0144
n-C39	0.8702
n-C40	0.9602
n-C41	0.5994
