compound	LU28
n-C12	0.3332
n-C13	11.7464
n-C14	30.7181
n-C15	56.1745
n-C16	57.691
n-C17	60.5971
n-C18	50.5336
n-C19	47.7927
n-C20	40.8509
n-C21	36.9774
n-C22	39.5084
n-C23	39.284
n-C24	39.6021
n-C25	40.0453
n-C26	41.6909
n-C27	37.8885
n-C28	32.7404
Cholestane	12.0978
n-C29	28.285
n-C30	23.9669
n-C31	18.1682
n-C32	13.4108
n-C33	12.1402
n-C34	10.0485
n-C35	8.2857
n-C36	6.2488
n-C37	6.0712
n-C38	5.4229
