compound	Long25
n-C13	4.9509
n-C14	17.2287
n-C15	28.5134
n-C16	28.0116
n-C17	25.0725
n-C18	18.9096
n-C19	17.9009
n-C20	15.2107
n-C21	13.2194
n-C22	12.4231
n-C23	11.651
n-C24	10.4556
n-C25	10.2363
n-C26	9.5941
n-C27	8.7781
n-C28	7.9664
Cholestane	3.6415
n-C29	7.3553
n-C30	5.8701
n-C31	4.7717
n-C32	3.8635
n-C33	3.4907
n-C34	3.1689
n-C35	2.7325
n-C36	2.1432
n-C37	1.9411
n-C38	1.8275
n-C39	1.4827
n-C40	1.4265
