compound	Long27
n-C13	0.0524
n-C14	2.4157
n-C15	9.1052
n-C16	12.2022
n-C17	13.3674
n-C18	11.9396
n-C19	11.909
n-C20	10.4134
n-C21	9.534
n-C22	9.5832
n-C23	9.0892
n-C24	8.4969
n-C25	8.4546
n-C26	7.9857
n-C27	7.3315
n-C28	6.6393
Cholestane	5.0288
n-C29	6.0085
n-C30	4.7418
n-C31	4.5433
n-C32	3.3945
n-C33	3.0823
n-C34	2.8248
n-C35	2.5258
n-C36	2.0423
n-C37	1.9459
n-C38	1.8392
n-C39	1.56
n-C40	1.527
n-C41	0.9959
n-C42	1.3612
