compound	LU23-30-20
n-C13	1.6613
n-C14	6.8799
n-C15	14.6559
n-C16	20.7872
n-C17	23.056
n-C18	23.3285
n-C19	24.6406
n-C20	21.5359
n-C21	20.1319
n-C22	18.5642
n-C23	16.1676
n-C24	15.4769
n-C25	13.0438
n-C26	11.0619
n-C27	9.2497
n-C28	9.0928
Cholestane	6.4521
n-C29	8.2333
n-C30	6.5367
n-C31	6.9184
n-C32	5.5382
n-C33	4.6814
n-C34	6.2248
n-C35	3.9687
n-C36	3.2116
n-C37	2.4161
n-C38	3.0428
n-C39	1.9593
n-C40	1.7662
n-C41	1.5851
