compound	Long15
n-C12	1.744
n-C13	9.054
n-C14	16.5065
n-C15	22.5616
n-C16	18.9628
n-C17	17.1287
n-C18	14.0456
n-C19	13.88
n-C20	12.2885
n-C21	11.5194
n-C22	11.3751
n-C23	13.1395
n-C24	11.3965
n-C25	13.6489
n-C26	14.46
n-C27	13.8144
n-C28	12.2021
Cholestane	5.362
n-C29	11.4273
n-C30	10.4596
n-C31	7.3405
n-C32	4.9446
n-C33	4.8451
n-C34	3.4904
n-C35	3.1438
n-C36	2.398
n-C37	2.4199
n-C38	2.4009
n-C39	1.4666
n-C40	1.5817
