compound	LU23-06B
n-C13	1.0606
n-C14	7.828
n-C15	16.4706
n-C16	24.1657
n-C17	28.189
n-C18	30.4851
n-C19	35.0381
n-C20	35.5747
n-C21	35.75
n-C22	32.5135
n-C23	29.5205
n-C24	28.0606
n-C25	24.1878
n-C26	18.516
n-C27	15.1704
n-C28	15.7789
Cholestane	8.2202
n-C29	13.1636
n-C30	9.561
n-C31	10.1198
n-C32	7.3692
n-C33	6.3098
n-C34	6.9596
n-C35	7.3348
n-C36	3.8938
n-C37	3.6003
n-C38	3.6907
n-C39	2.315
n-C40	2.3737
