compound	Long3
n-C13	0.3988
n-C14	3.1212
n-C15	6.8312
n-C16	9.3668
n-C17	9.4298
n-C18	9.5255
n-C19	9.9783
n-C20	9.5566
n-C21	9.6032
n-C22	8.6954
n-C23	8.024
n-C24	7.6741
n-C25	6.8294
n-C26	5.4575
n-C27	4.672
n-C28	4.5712
Cholestane	4.6222
n-C29	4.3821
n-C30	3.1352
n-C31	3.2643
n-C32	2.4288
n-C33	2.2353
n-C34	2.784
n-C35	2.2833
n-C36	1.4978
n-C37	1.2992
n-C38	1.3424
n-C39	0.7877
n-C40	0.7727
