compound	Long17
n-C12	0.119
n-C13	0.9276
n-C14	2.0884
n-C15	3.1307
n-C16	2.7008
n-C17	2.509
n-C18	2.1569
n-C19	2.0393
n-C20	1.8522
n-C21	1.7252
n-C22	1.7429
n-C23	1.9507
n-C24	1.9431
n-C25	2.4068
n-C26	2.4907
n-C27	2.3843
n-C28	2.1469
Cholestane	1.8544
n-C29	2.1349
n-C30	1.8972
n-C31	1.4302
n-C32	1.0558
n-C33	1.0589
n-C34	0.9425
n-C35	0.8
n-C36	0.6345
n-C37	0.6204
n-C38	0.6715
