compound	LU12
n-C13	3.9204
n-C14	20.8189
n-C15	40.7666
n-C16	38.7712
n-C17	37.5961
n-C18	31.1489
n-C19	31.8769
n-C20	29.2354
n-C21	26.5068
n-C22	26.9598
n-C23	26.2603
n-C24	25.001
n-C25	23.398
n-C26	24.2032
n-C27	22.9638
n-C28	18.5292
Cholestane	8.1792
n-C29	17.0723
n-C30	12.6111
n-C31	10.7539
n-C32	8.32
n-C33	6.7989
n-C34	5.9658
n-C35	4.7712
n-C36	3.7745
n-C37	3.6757
n-C38	3.3258
n-C39	2.4953
n-C40	2.3168
