compound	Long19
n-C13	1.0532
n-C14	5.4536
n-C15	10.8173
n-C16	10.3804
n-C17	10.5738
n-C18	9.3747
n-C19	9.2236
n-C20	8.6089
n-C21	7.945
n-C22	8.4624
n-C23	9.0607
n-C24	8.4611
n-C25	8.9814
n-C26	10.6187
n-C27	9.9921
n-C28	8.1958
Cholestane	4.7956
n-C29	7.5185
n-C30	6.8769
n-C31	4.2208
n-C32	2.8169
n-C33	2.5069
n-C34	1.5894
n-C35	1.5302
n-C36	1.059
n-C37	0.969
n-C38	0.8871
n-C39	0.7412
n-C40	0.6691
