compound	Long2
n-C13	0.0655
n-C14	1.7041
n-C15	5.5512
n-C16	8.7473
n-C17	10.5419
n-C18	10.936
n-C19	11.2362
n-C20	10.2421
n-C21	9.7306
n-C22	8.762
n-C23	8.32
n-C24	7.8546
n-C25	6.8631
n-C26	5.6105
n-C27	4.7756
n-C28	4.6471
Cholestane	4.5111
n-C29	4.3999
n-C30	3.0866
n-C31	2.9928
n-C32	2.3002
n-C33	2.1452
n-C34	2.7554
n-C35	2.2497
n-C36	1.3855
n-C37	1.2449
n-C38	1.3976
n-C39	0.8985
n-C40	0.8739
n-C41	0.7806
