compound	Long16
n-C14	0.7987
n-C15	8.0428
n-C16	11.7017
n-C17	12.7905
n-C18	11.2143
n-C19	10.2874
n-C20	9.1901
n-C21	8.2073
n-C22	7.5799
n-C23	7.8775
n-C24	7.0516
n-C25	6.8321
n-C26	7.3577
n-C27	6.5881
n-C28	5.4935
Cholestane	4.2592
n-C29	5.041
n-C30	4.2812
n-C31	2.8107
n-C32	2.2249
n-C33	2.1296
n-C34	1.6101
n-C35	1.7881
n-C36	1.2227
n-C37	1.1058
n-C38	1.2308
n-C39	1.0237
n-C40	0.9598
n-C41	0.8308
