compound	LU30
n-C12	0.2604
n-C13	4.3698
n-C14	7.2666
n-C15	8.7948
n-C16	6.7408
n-C17	5.4397
n-C18	4.4383
n-C19	4.35
n-C20	3.75
n-C21	3.4974
n-C22	4.1759
n-C23	3.7377
n-C24	3.5239
n-C25	3.5151
n-C26	3.5223
n-C27	3.3327
n-C28	2.8368
Cholestane	2.2924
n-C29	2.9049
n-C30	2.2906
n-C31	1.8901
n-C32	1.5803
n-C33	1.5459
n-C34	1.2658
n-C35	1.1182
n-C36	0.9321
n-C37	0.9509
