compound	LU16
n-C13	2.4768
n-C14	14.0072
n-C15	29.2001
n-C16	28.3988
n-C17	27.3381
n-C18	22.2582
n-C19	21.1456
n-C20	18.7309
n-C21	17.5722
n-C22	17.8796
n-C23	18.5902
n-C24	16.8335
n-C25	17.0725
n-C26	17.0472
n-C27	16.7776
n-C28	13.996
Cholestane	6.8338
n-C29	13.9643
n-C30	10.9894
n-C31	9.2807
n-C32	7.9525
n-C33	6.587
n-C34	5.4922
n-C35	4.7147
n-C36	3.5165
n-C37	3.3979
n-C38	2.8717
n-C39	2.4698
n-C40	2.1413
