compound	Long21
n-C13	0.9895
n-C14	5.8085
n-C15	11.6912
n-C16	11.5014
n-C17	10.936
n-C18	9.529
n-C19	9.3608
n-C20	8.5633
n-C21	7.9851
n-C22	8.2783
n-C23	9.0335
n-C24	8.0732
n-C25	8.7766
n-C26	9.6391
n-C27	9.3206
n-C28	7.7478
Cholestane	4.7029
n-C29	7.1475
n-C30	6.2717
n-C31	4.0892
n-C32	2.7629
n-C33	2.6716
n-C34	1.9285
n-C35	1.3707
n-C36	1.1824
n-C37	1.1384
