compound	LU18
n-C12	0.0804
n-C13	5.3776
n-C14	18.308
n-C15	32.3168
n-C16	30.4219
n-C17	28.4523
n-C18	23.9441
n-C19	24.6312
n-C20	22.431
n-C21	20.9847
n-C22	22.5707
n-C23	22.0367
n-C24	20.9102
n-C25	21.0983
n-C26	22.1413
n-C27	21.2137
n-C28	17.7594
Cholestane	7.5089
n-C29	16.5183
n-C30	13.8325
n-C31	10.3697
n-C32	9.2739
n-C33	7.692
n-C34	6.4016
n-C35	4.9605
n-C36	4.0846
n-C37	4.1903
n-C38	3.9565
n-C39	2.5919
n-C40	2.1193
