compound	LU23-02B
n-C13	2.5496
n-C14	7.9112
n-C15	12.8973
n-C16	16.9126
n-C17	18.4146
n-C18	18.7467
n-C19	18.9944
n-C20	17.2346
n-C21	16.4245
n-C22	15.1872
n-C23	13.7449
n-C24	12.8055
n-C25	11.2934
n-C26	9.2076
n-C27	7.7352
n-C28	7.186
Cholestane	5.7019
n-C29	6.6642
n-C30	5.1808
n-C31	4.4443
n-C32	3.6289
n-C33	3.3281
n-C34	3.8765
n-C35	3.1435
n-C36	2.3685
n-C37	1.825
n-C38	2.2834
n-C39	1.5229
n-C40	1.3685
n-C41	1.0813
n-C42	0.9227
