compound	LU24
n-C12	0.04
n-C13	3.3943
n-C14	8.6599
n-C15	11.9914
n-C16	9.138
n-C17	7.3388
n-C18	5.9463
n-C19	6.4007
n-C20	6.4406
n-C21	6.5548
n-C22	7.5217
n-C23	8.2423
n-C24	7.9622
n-C25	8.3949
n-C26	9.1046
n-C27	9.4075
n-C28	7.8087
Cholestane	3.9555
n-C29	7.2306
n-C30	5.9121
n-C31	5.203
n-C32	4.4313
n-C33	3.4559
n-C34	2.785
n-C35	2.0835
n-C36	1.6874
n-C37	1.5337
n-C38	1.2393
n-C39	1.0749
n-C40	1.1229
n-C41	1.0113
