compound	LU20
n-C12	0.2223
n-C13	13.3902
n-C14	33.4731
n-C15	54.795
n-C16	53.2029
n-C17	55.1553
n-C18	48.614
n-C19	48.457
n-C20	43.2103
n-C21	40.3558
n-C22	41.1242
n-C23	45.8802
n-C24	42.4084
n-C25	44.0985
n-C26	46.3583
n-C27	46.8967
n-C28	36.1658
Cholestane	12.2171
n-C29	33.6438
n-C30	28.5088
n-C31	19.3538
n-C32	16.1037
n-C33	14.188
n-C34	10.6257
n-C35	7.4715
n-C36	5.5888
n-C37	6.7763
n-C38	6.1106
n-C39	2.6415
