compound	LU23-0-1B
n-C13	0.0624
n-C14	1.3096
n-C15	4.6265
n-C16	8.0827
n-C17	10.6911
n-C18	12.6797
n-C19	14.7178
n-C20	14.5546
n-C21	14.6294
n-C22	13.2313
n-C23	12.1698
n-C24	11.5063
n-C25	10.0762
n-C26	8.0669
n-C27	6.7934
n-C28	6.539
Cholestane	5.598
n-C29	6.0082
n-C30	4.4794
n-C31	3.9475
n-C32	3.306
n-C33	2.8351
n-C34	3.5249
n-C35	3.0309
n-C36	1.8056
n-C37	1.4684
n-C38	1.7944
n-C39	1.2647
n-C40	0.9842
