compound	LU24-30-00
n-C14	0.3089
n-C15	3.5777
n-C16	7.1982
n-C17	8.6914
n-C18	8.0439
n-C19	8.2458
n-C20	7.5852
n-C21	7.7611
n-C22	7.7073
n-C23	7.5792
n-C24	7.1899
n-C25	6.1644
n-C26	4.9236
n-C27	4.2172
n-C28	4.0906
Cholestane	6.3314
n-C29	3.752
n-C30	2.7937
n-C31	3.2344
n-C32	2.2583
n-C33	2.1441
n-C34	3.134
n-C35	2.2587
n-C36	1.5949
n-C37	1.5777
n-C38	1.7148
n-C39	1.1243
n-C40	1.2689
n-C41	0.8769
n-C42	0.9155
n-C43	0.8248
