compound	LU19
n-C12	0.0801
n-C13	4.0469
n-C14	12.0243
n-C15	24.6143
n-C16	26.838
n-C17	26.9543
n-C18	23.7106
n-C19	24.1162
n-C20	22.1692
n-C21	20.342
n-C22	20.876
n-C23	21.468
n-C24	19.7191
n-C25	20.0368
n-C26	20.0506
n-C27	19.7679
n-C28	16.7546
Cholestane	8.6918
n-C29	15.8234
n-C30	12.4245
n-C31	9.2738
n-C32	8.1023
n-C33	6.8883
n-C34	5.6843
n-C35	4.6598
n-C36	3.8136
n-C37	3.463
n-C38	3.113
n-C39	2.3302
