compound	Long4
n-C14	0.0229
n-C15	0.7025
n-C16	3.1343
n-C17	5.6518
n-C18	7.2233
n-C19	8.1679
n-C20	7.4676
n-C21	7.4552
n-C22	6.7773
n-C23	6.5406
n-C24	6.2395
n-C25	5.2028
n-C26	3.9568
n-C27	3.188
n-C28	3.243
Cholestane	3.8797
n-C29	2.9319
n-C30	2.093
n-C31	2.0523
n-C32	1.7647
n-C33	1.4445
n-C34	1.8053
n-C35	2.0519
n-C36	1.2015
n-C37	0.9987
n-C38	1.138
n-C39	0.8466
n-C40	0.7925
