compound	Long14
n-C12	0.1769
n-C13	1.3808
n-C14	5.3158
n-C15	9.6802
n-C16	8.5684
n-C17	8.999
n-C18	8.6508
n-C19	9.3616
n-C20	9.1107
n-C21	9.4066
n-C22	10.1141
n-C23	13.3597
n-C24	12.7261
n-C25	16.2458
n-C26	18.4145
n-C27	16.6059
n-C28	14.9179
Cholestane	6.3759
n-C29	14.0011
n-C30	12.8694
n-C31	8.6705
n-C32	5.4284
n-C33	5.5663
n-C34	4.5025
n-C35	4.4649
n-C36	2.784
n-C37	2.8177
n-C38	2.5641
n-C39	1.993
n-C40	1.808
