compound	Long5
n-C14	0.0145
n-C15	0.4456
n-C16	2.0086
n-C17	3.7581
n-C18	5.0005
n-C19	5.4962
n-C20	5.302
n-C21	4.8744
n-C22	4.4542
n-C23	4.0671
n-C24	3.695
n-C25	3.259
n-C26	2.6094
n-C27	2.2911
n-C28	2.1684
Cholestane	4.7994
n-C29	2.0841
n-C30	1.4887
n-C31	1.6
n-C32	1.1534
n-C33	1.1661
n-C34	1.4891
n-C35	1.2103
n-C36	0.8531
n-C37	0.7384
n-C38	0.9259
n-C39	0.7111
n-C40	0.682
n-C41	0.6286
