compound	LU14
n-C14	2.1149
n-C15	12.8921
n-C16	22.8576
n-C17	27.8715
n-C18	24.6264
n-C19	24.7148
n-C20	20.831
n-C21	18.7001
n-C22	18.0585
n-C23	15.93
n-C24	15.2293
n-C25	13.7477
n-C26	13.2316
n-C27	12.3707
n-C28	10.9368
Cholestane	7.752
n-C29	10.7513
n-C30	8.2251
n-C31	7.6327
n-C32	6.1589
n-C33	5.7798
n-C34	5.1731
n-C35	4.8113
n-C36	3.6883
n-C37	3.1041
n-C38	2.9822
n-C39	2.5373
n-C40	2.0887
n-C41	1.8732
n-C42	2.0289
