compound	LU22
n-C12	0.1138
n-C13	8.086
n-C14	18.2822
n-C15	26.9289
n-C16	22.9682
n-C17	21.6218
n-C18	18.9844
n-C19	19.174
n-C20	17.9805
n-C21	17.2157
n-C22	18.5073
n-C23	20.9133
n-C24	19.1585
n-C25	20.076
n-C26	22.7238
n-C27	23.7454
n-C28	18.4821
Cholestane	8.3634
n-C29	17.4422
n-C30	15.1238
n-C31	11.4684
n-C32	9.5681
n-C33	7.3925
n-C34	5.6622
n-C35	4.4102
n-C36	3.2139
n-C37	2.9333
n-C38	2.858
n-C39	1.9818
